RW_Turbidity,pH,Conductivity,PAC
5.5,7.1,37.2,5
22.5,7.2,45.7,6
10.18,8.9,38.9,5
6.1,7.3,32.6,5
18.9,7.2,37.2,8
7.2,7.3,44.2,8
15.7,7.3,39.8,9
59.4,7.2,54.2,12
13.6,7.2,38.7,6
9.4,7.2,39.4,5
8.6,7.1,41.1,5
4.2,7.1,43.5,5
6.7,7.3,41.5,5
,,,
0.4,7.5,39.6,5
5,7,42.4,5
5.5,7,41.1,5
5.66,7.01,40.4,4
4.08,7.2,32.8,4
4.1,7.2,33.4,4
4.1,7.2,43.2,4
4.2,7.1,32.3,4
4,7,37.1,4
3.2,6.97,36.7,4
3.1,7.1,40.1,4
3.58,7.1,41.6,4
3.03,7.2,34.6,4
2.4,7.2,44.3,4
3.75,7.28,45.1,4
2.7,7.2,37.1,4
2.3,7.2,38.2,4
6.31,7.2,40.1,4
4.5,7.2,40.3,4
3.21,7.12,42.1,4
3.7,7.2,44.4,4
3.66,7.12,44.1,3
3.7,7.3,40.1,4
2.7,7.4,44,4
3.41,7.3,43.2,3
3.1,7,45.1,3
2.1,7.1,41.3,3
4.3,7.2,37.1,3
2.1,7.3,39.2,3
2.5,7.2,44.1,3
3.2,7.1,42.1,3
,,,
4.52,7.07,41.3,4
3.5,7.2,41.6,4
4.9,7,34.2,4
3.8,7,37.1,4
5.68,7.21,39.3,3
2.4,7.9,37.1,3
4.2,6.9,39.1,3
3.31,7.1,39.2,3
3.5,7.28,40.1,3
2.5,,,3
2.5,7.3,40.1,3
3.31,6.98,41.5,3
1.1,6.9,40.9,3
2.4,7.2,40.1,3
2.75,6.99,40.8,3
2.7,7.3,39,5
2,7.2,41.3,4
1.9,7.2,41.3,3
2.34,7.1,41.8,3
2,7,40.2,3
2.4,7.33,41.6,3
2.99,6.97,47.7,3
2.2,7.01,45.8,3
2.8,6.8,44.9,3
1.7,7.1,44.1,3
1.9,7.1,43.5,2
3.5,7.2,43.2,2
3.1,7.43,44,3
,,,
2.2,7,43.2,4
2.4,7.03,41.1,3
1.6,7.1,40.3,4
1.7,7.2,44.1,4
2.03,6.8,44.1,3
2.2,7.2,43.2,3
2.4,7.22,42.2,3
1.6,7.4,41.1,3
2.3,7.11,41.7,3
1.5,7.4,44.1,3
1.4,7.2,43.1,3
1.9,7.2,45.4,3
1.6,7.3,44.1,3
2.3,7.28,44.3,3
3.41,7.07,46.1,3
2.6,7.01,41.2,3
8.2,7.2,47.1,4
8.2,7.2,47.1,4
14.8,7.2,41.7,5
3.04,7.3,41.3,3
3.36,6.9,43.1,3
4,7.53,42.3,3
50.2,7,51.3,8
24.5,7.2,49.3,7
9.1,7.3,44.1,5
8.3,7.2,47.1,5
4.2,7.2,46.3,3
8.1,6.8,48.1,3
3.3,7.1,42,4
6.3,7,45.8,5
,,,
4.6,7.2,57.1,4
3.2,7.2,56.2,2
32.1,7.2,52.1,8
18.5,7.4,45.3,6
61.2,7.2,43.8,10
14.3,7.2,40.2,4
6.3,7.1,42.1,8
4.9,7.1,54.4,7
5.1,7,52.2,5
